M_in,M_out,P_in,P_out,Pipe_Length,Pipe_Diameter,P_sur,Liquid_Inlet_Frac,Liquid_Outlet_Frac,Mix_Density,Mix_Viscosity,C_d,leak_size,leak_location,leak_class
3.8737682263305766,3.8737682263305766,293602.63580410375,229620.2889553685,61.36966041718401,0.0508,100000.0,0.9005102883137452,0.9005102883137452,818.3795127738614,6.452727383133978e-06,0.0,0.0,0.0,0
4.471580949546805,4.471580949546805,442997.2675636728,304746.56890151603,95.13498635791204,0.0508,100000.0,0.8838965867216889,0.8838965867216889,810.9916435149122,5.603517717331037e-06,0.0,0.0,0.0,0
4.041243039196484,4.041243039196484,288431.22205887904,203814.82057990885,93.8578578330846,0.0508,100000.0,0.9464687440841092,0.9464687440841092,931.6716966708884,6.501169712390884e-06,0.0,0.0,0.0,0
5.798110246350765,5.798110246350765,251918.70238971928,101325.0,78.72634892147595,0.0508,100000.0,0.9264694694827644,0.9264694694827644,869.1132564261795,4.2723630974635365e-06,0.0,0.0,0.0,0
3.8819749043434495,3.8819749043434495,442886.4604068251,341741.6194432163,84.99079421327983,0.0508,100000.0,0.8710647947984907,0.8710647947984907,767.580246746667,4.709037799915279e-06,0.0,0.0,0.0,0
5.656333951395736,5.656333951395736,363707.4431096625,190677.33840757,78.86341982026184,0.0508,100000.0,0.8931646489552533,0.8931646489552533,841.9427784673126,3.915943592344844e-06,0.0,0.0,0.0,0
5.660149093997916,5.660149093997916,325495.05673848407,230511.79896135145,40.95041005548248,0.0508,100000.0,0.8897786259588272,0.8897786259588272,803.7840649971688,7.65804778598231e-06,0.0,0.0,0.0,0
4.259404147206435,4.259404147206435,369934.1439178568,286663.6080059872,69.34636631352166,0.0508,100000.0,0.8922924173069212,0.8922924173069212,874.8209514186888,8.546217442399982e-06,0.0,0.0,0.0,0
5.739987438299044,5.739987438299044,297694.7933750195,265627.97507235105,12.64737774664427,0.0508,100000.0,0.8710369680404485,0.8710369680404485,787.4764181503263,4.244391805559973e-06,0.0,0.0,0.0,0
6.147930291407306,6.147930291407306,452607.9630610141,288563.60516548785,68.28180835323516,0.0508,100000.0,0.915145912760039,0.915145912760039,866.2733609520626,8.819401974490411e-06,0.0,0.0,0.0,0
4.423346791974387,4.423346791974387,448476.1000331727,370800.420929541,65.22420374028721,0.0508,100000.0,0.9268875748985408,0.9268875748985408,882.1215297032842,8.82e-06,0.0,0.0,0.0,0
5.404871495121773,5.404871495121773,364859.3733653948,218571.96129605515,74.51573261802757,0.0508,100000.0,0.916464578144654,0.916464578144654,816.7607751470382,5.628486522324422e-06,0.0,0.0,0.0,0
